Number,Company,Model Name,Problem 1,Problem 2,HIN,Disposition,Units,Boat Type,Severity,MIC,Company Official,Model Year,Case Open Date,Case Close Date,Campaign Open Date,Campaign Close Date,Last Date
18CG128S,STUR-DEE BOAT CO,AMESBURY DORY 16,LABEL; CERTIFICATION,,SDB16001A818,Closed,4,11,L,SDB,PLC,2018,4/27/2018,,7/3/2018,8/29/2019,8/29/2019
080014S,RANGER BOATS,VARIOUS,FUEL VALVE LEAK,,VARIOUS,Closed,1216,11,L,RNG,RAB,2008,3/12/2008,,3/12/2008,6/24/2013,5/24/2013
05R0775S,LOWELL'S BOAT YARD,12 FOOT TENDER,LABEL; CAPACITY,LABEL; CERTIFICATION,NYA,Closed,2,11,L,LMR,DRG,,8/4/2005,4/18/2006,4/18/2006,4/18/2006,4/18/2006
02R0055S,FORCE MARINE INC,Sport Bridge,FUEL SYSTEM FILL CONNECTI,IONS NOT DOUBLE CLAMPED,FQVF2170A202,Closed,28,13,L,FQV,DRG,2002,2/26/2002,2/3/2003,8/26/2002,2/3/2003,10/15/2002
17CG120S,GLASSTREAM INC,180 CC,HULL ID NUMBER,,GDJ01101H617,Closed,16,11,L,GDJ,PLC,2017,12/19/2017,8/27/2021,4/12/2019,8/27/2021,8/27/2021
950337T,CARVER BOAT CORPORATION,TROJAN 370/390,CO INTRUSION,,CDR&TRJ HINS,Closed,107,12,H,TRJ,RJD,1994,12/1/1995,,12/1/1995,3/21/2002,6/19/1996
190024S,Sea Ray Boats,SLX400,ELECTRICAL SYSTEM,,SERV1005F718,Open,34,12,,SER,EAJ,2018,3/21/2019,,3/21/2019,,12/27/2021
001013S,RIVER TRAIL INC,1544,LEVEL FLOTATION,SAFE LOADING MAX WT,EHT7Q80J001,Closed,65,11,L,EHT,GEL,2001,6/8/2001,3/16/2005,6/8/2001,3/16/2005,3/25/2004
110047T,BOMBARDIER REC PRODUCTS,GTI AND GTS,STORAGE COVER CRACKING,,,Closed,10031,22,L,ZZN,EAJ,,11/29/2011,10/21/2015,11/29/2011,10/21/2015,10/21/2015
020095T,SEA RAY BOATS INC,200 BOW RIDER,FUEL SYSTEM HOSE ROUTING,,SER,Closed,136,12,H,SER,PDE,2002,6/12/2002,7/20/2005,6/13/2002,7/20/2005,7/25/2005
810042S,CUSTOM FIBERGLASS,7' SCAMP,FLOTATION-,,,Closed,12,,,DEX,PCB,79,4/1/1981,12/17/1982,4/1/1981,12/17/1982,3/21/1982
920499S,TRI-STATE CUSTOM FBGLS INC,16' C HAWK,HORSEPOWER OVER RATED,,KME04586H293,Closed,3,,L,KME,LJA,1993,12/16/1992,12/10/1993,12/16/1992,12/10/1993,2/26/1993
960043T,LARSON BOATS,LXi/SEi,FUEL FILL,,VARIOUS,Closed,652,12,H,LAR,RJD,1995,2/22/1996,,2/22/1996,11/24/1996,6/30/1999
810076S,RELIABLE METAL PRODUCT,10' FISHERMAN,MAX WEIGHT (CAP PLATE),,,Closed,49,,,RLU,PLN,80,6/3/1981,9/28/1981,6/3/1981,9/28/1981,8/31/1981
070050T,AMERICAN HONDA MOTOR CO INC,BF15D & BF20D,FUEL SYSTEM,,,Closed,19454,31,H,HPS,LEN,,11/5/2007,,11/5/2007,4/26/2017,4/18/2017
050024T,MERIDIAN YACHTS INC,,RUDDER BEARING FAILURE,,,Closed,53,12,L,MDN,LEN,2005,5/13/2005,4/28/2010,5/17/2005,,4/28/2010
110024S,CRESTLINER,1850 SPORT FISH,LEVEL FLOTATION,,SEE COMMENTS,Closed,4208,11,H,CRC,PLC,,4/6/2011,,4/6/2011,1/27/2014,11/18/2013
110021T,,"""200,225,250,300 HP OBS""",FUEL SYSTEM,HOSE CLAMP ON VAPOR SEPAR,,Closed,229,,L,BRP,WAC,2011,3/16/2011,,3/16/2011,4/28/2014,4/28/2014
110025T,BOMBARDIER,150 SPEEDSTER 180 CHALLENGER,ELECTRICAL,,,Closed,405,13,L,ZZN,WAC,2011,4/13/2011,10/29/2014,4/13/2011,10/29/2014,10/29/2014
040079T,POLARIS INDUSTRIES INC,MSX 140,FUEL HOSE ABRASION,,,Closed,4187,17,L,PLE,WAC,,6/18/2004,6/26/2007,6/18/2004,6/26/2007,8/18/2004
920531S,"""WILLIE BOATS, INC""",17' WILLIES PREDATOR,LEVEL FLOTATION,LEVEL FLOTATION STABILITY,WIL1187K192,Closed,32,,H,WIL,LJA,1992,2/2/1993,12/6/1993,2/3/1993,12/6/1993,10/26/1993
110036T,blb,,SEAT ATTACHMENT,,,Closed,,13,,blb,LEN,,8/23/2011,2/13/2020,8/23/2011,8/23/2018,2/13/2020
04R0078S,FUN IN THE SUN RECREATIONS IN,TORNADO-SAILING CATAMRAN W/O MTR,HULL ID NUMBER,,,Closed,1,14,L,XKI,PLC,,8/18/2004,,8/18/2004,,8/18/2004
930042S,KAWASAKI MOTORS CORP USA,JB650-A1/A2/A3/A4 JETMATE,LABEL - CAPACITY FADED,1991-94,JKA00239I091,Closed,2675,,L,JKA,VWM,1991,4/23/1994,6/16/1993,5/21/1993,6/16/1993,6/16/1993
130011T,BRP US Inc.,ICON Binnacle,Throttle and Shift contro,,,Closed,2230,,,cec,ej,2013,,1/26/2017,11/13/2013,1/26/2017,1/26/2017
800168S,DUTCHMAN FIBERGLASS PR,8FT DINGHY,NONCOMPLIANCE,SAFE POWERING,,Closed,451,,,PLN,KWL,,6/6/1980,11/5/1981,6/6/1980,11/5/1981,5/19/1981
16CG075S,AGRI-PLASTICS MFG,TETRA-POD,LEVEL FLOTATION,LABEL; CAPACITY,YTW00550C517,Open,60,18,H,YTW,PLC,2017,11/2/2016,,10/24/2017,,1/23/2023
170014T,BRP U.S. Inc,E-Tec G2 150-300,ENGINE; GASOLINE,,,Closed,339,31,,cec,EJ,2017,8/21/2017,7/19/2021,8/21/2017,,7/19/2021
020139S,BOMBARDIER MOTOR CORP OF AMER,25 & 30 HORSEPOWER,START IN GEAR,,,Closed,1046,31,L,CEC,RAB,2002,7/26/2002,,7/26/2002,3/23/2006,3/15/2006
810114S,LIVINGSTON INC,15' PACIFIC SKIF,LEVEL FLOTATION,STABILITY WARNING LABELS,,Closed,26,,H,LBC,WRS,1981,8/19/1981,12/9/1982,8/19/1981,12/9/1982,5/18/1982
920349S,ALUMAWELD BOATS,16' GUIDE,LEVEL FLOTATION,LEVEL FLOTATION STABILITY,AWB10188I192,Closed,103,,H,AWB,LJA,1992,5/14/1992,11/5/1993,5/14/1992,11/8/1993,8/19/1993
060068T,DUSKY MARINE INC,VARIOUS,FUEL FILL FITTING CRACKS,,,Closed,101,11,H,DUS,DRG,,9/12/2006,1/31/2007,10/3/2006,1/31/2007,1/31/2007
941251S,LOTT MANUFACTURING CO,WHITE CAP 165,LEVEL FLOTATION,STABILITY PORT AND STARB,LMQ015910494,Closed,1,,H,LMQ,LJA,1994,8/12/1994,12/22/1994,12/22/1994,12/22/1994,11/29/1994
060097T,MERCURY MARINE,25/30 EFI 4-STROKE OUTBOARD,THROTTLE MAY STICK,,,Closed,3584,31,L,HQZ,LEN,2006,11/8/2006,10/15/2014,11/8/2006,10/15/2014,10/15/2014
17CG090S,NAUTIC STAR LLC,1810 BAY CC,,,JNT25380G617,Open,756,11,H,JNT,PLC,2017,3/23/2017,,7/25/2017,,1/23/2023
170002S,Thunder Jet Boats,V 186 ECO,LEVEL FLOTATION,,AHZ10109C616,Open,99,17,,AHQ,eaj,,3/22/2017,,3/22/2017,,8/23/2021
180003S,Leisure Properties dba Crownl,E30,LABEL; CERTIFICATION,,KIS83422L618,Closed,11,11,,kis,eaj,2018,2/21/2018,8/19/2015,2/21/2018,8/15/2019,8/15/2019
18CG122S,SANTEE BOATS LLC,160 CC,LABEL; CERTIFICATION,NAVIGATION LIGHTS,STN00030L718,Open,3,11,L,SNT,PLC,2018,1/12/2018,,5/9/2019,,1/24/2023
950216T,POLAR KRAFT MFG CO,1700V 1900V 2100V PJ1780,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,PLR.........,Closed,47,,H,PLR,DRG,1995,9/13/1995,5/19/1998,11/1/1995,5/19/1998,5/19/1998
060074T,MONTEREY BOATS,234 FSX,FUEL FILL FITTING CRACKS,,,Closed,54,13,H,RGF,LEN,,9/12/2006,2/21/2008,10/26/2006,2/21/2008,2/21/2008
810064S,ELDO CRAFT,ALL I/O'S,NO PROTECTION FOR BATTERY,TERMINAL,,Closed,161,,,ELD,KWL,80,2/1/1981,8/19/1981,2/1/1981,8/19/1981,6/15/1981
800105S,MOORE BLDRS/LAKE BOATS,12' & 14',MISSING CAP/CERT LAB,,,Closed,34,,,MUJ,CFP,80,3/3/1980,1/7/1982,3/3/1980,1/7/1982,8/27/1981
800240S,PROCRAFT BY MAIDENCRAF,16FT PLAY DECK,LEVEL FLOTATION,RECD CUR #2,,Closed,29,,,JCE,KWL,80,10/10/1980,3/22/1982,10/10/1980,3/22/1982,10/22/1981
990017S,STARCRAFT MARINE LLC,DECKBOAT,NAV LIGHT - HEIGHT,,STR & MNX,Closed,104,11,L,STR,DRG,1999,2/17/1999,1/25/2001,3/25/1999,1/25/2001,1/25/2001
060019S,S2 YACHTS INC,TIARA 3200 OPEN,VENTILATION,,,Closed,86,12,,SSU,RAB,2004,4/17/2006,4/19/2007,4/17/2006,4/19/2007,2/15/2007
990001T,TRACKER MARINE L.P.,NITRO & FISHER FX,STEERING - TILT MECHANISM,,BUJ70759G798,Closed,458,11,L,BUJ,DRG,,1/4/1999,,1/4/1999,6/21/2000,6/21/2000
920411S,RINKER BOAT CO INC,170 CAPTIVA,LEVEL FLOTATION STABILITY,,RNK36263K192,Closed,169,,H,RNK,LJA,1992,8/24/1992,,8/24/1992,2/27/1995,12/30/1994
06R1557S,"""REGAL MARINE INDUSTRIES, INC",REGAL 2700,,,RGMWG051E607,Closed,60,11,L,RGM,PLC,2007,7/21/2006,6/29/2007,8/25/2006,6/29/2007,3/23/2007
11P054,FLOYD'S FIBERGLASS PRODUCTS I,EXHILIRATOR 101B,LEVEL FLOTATION,SAFE LOADING PERSONS,IXJ00096G111,Closed,9,11,H,IXJ,PLC,2011,8/25/2011,,2/7/2017,9/19/2018,9/19/2018
11P052S,HELLS BAY BOATWORKS INC,GLADES SKIFF TILLER,LEVEL FLOTATION,,HBH10182C011,Closed,3,11,H,HBH,PLC,2011,9/18/2011,,12/4/2013,12/23/2014,12/23/2014
180018T,Boston Boatworks LLC,"""35Z, 40Z""",ELECTRICAL SYSTEM,,,Closed,89,13,H,EOU,PLC,,,9/21/2022,10/18/2018,9/21/2022,9/21/2022
180019T,MERCURY MARINE,Sterndrive,Steering Pump,,2A572595,Open,4609,32,,,eaj,2018,8/24/2018,,8/24/2018,,5/26/2022
09R3628S,PAVATI MARINE,'DRIFTBOAT WARRIOR' OB PWRD BOAT,LEVEL FLOTATION,LABEL; CAPACITY,HIG00001010909,Closed,,11,M,HIG,,2009,10/26/2009,4/26/2010,,,4/26/2010
030133S,FOUR WINNS INC,37 AND 47 EXCALIBUR,FUEL FILL LINE,,GFN,Closed,22,13,H,GFN,DRG,,8/19/2003,10/28/2005,8/19/2003,10/28/2005,10/28/2005
17CG089S,WACO MFG INC,EDGE 553,,,WAC34705H516,Open,8,11,l,WAC,PLC,2016,3/13/2017,,2/10/2020,,1/23/2023
17CG111S,GODFREY MARINE CO,"""SS 188 OB, SD 187 OB""",,,GDY37459I617,Open,4047,11,H,GDY,PLC,2017,9/28/2017,,6/18/2018,,1/24/2023
041021S,SCANDY WHITE BOATS INC,1648 OPEN PRO,LEVEL FLOTATION,SAFE LOADING MAX PERS WT,WTE01413M304,Closed,6,11,L,WTE,PLC,2004,8/9/2005,10/16/2008,9/16/2005,10/16/2008,10/16/2008
800074S,SEAJAY BOATS INC,TR-182 WILDONE,FAIL LEVEL FLOTATION,INFO PLATE CONST,,Closed,40,,H,SEJ,NAH,79,3/3/1980,2/2/1981,3/3/1980,2/2/1981,10/14/1980
971546S,SMOKER-CRAFT INC,162 PRO MAG,SAFE LOAD:,LEVEL FLOTATION,SMK56276K697,Closed,1347,11,L,SMK,GEL,1997,8/21/1997,,11/6/1997,12/21/1999,6/14/1999
971547S,PELICAN INTERNATIONAL,C-8 CARIBE 8,SAFE LOAD; PERS WGT,,ZEP24713F595,Closed,34,11,L,ZEP,GEL,1995,8/15/1997,,10/14/1997,10/20/1997,10/20/1997
920444S,SEA MARK BOATS,16' FISHING BOAT,LEVEL FLOTATION,LEVEL FLOTATION STABILITY,ADLT3920M292A,Closed,29,,H,ADL,PDE,1992,4/29/1993,11/22/1996,7/24/1993,11/22/1996,3/20/1995
030207T,VOLVO PENTA,ENGINES,FUEL PUMP O RING,,,CLOSED,550,32,L,,PDE,2003,12/15/2003,10/28/2004,12/15/2003,10/28/2004,7/30/2004
080043T,YAMAHA MOTOR CORP USA,FX 1800 WAVERUNNER,FUEL SYSTEM,,,Closed,9382,17,H,YAM,PLC,,12/21/2008,4/19/2012,12/21/2008,4/19/2012,4/19/2012
190048T,MERCURY,,FUEL SYSTEM,,,Open,6244,31,M,HQZ,LEN,,9/5/2019,,9/5/2019,,12/30/2022
000197T,HAMILTON JET,HJ-212 AND HJ-213,STEERING,CRACKS IN STEERING NOZZLE,,Closed,1261,13,H,HQZ,WAC,1998,8/30/2000,6/7/2005,8/30/2000,6/7/2005,8/30/2000
110026S,AMERICAN HONDA MOTOR CORP,"""BF2D, BF5A, BF225A, BF200A""",,,,Closed,1407,11,S,HPS,LEN,2011,4/21/2011,1/23/2013,,,1/15/2013
100020T,MERCURY MARINE,600/700 SCi,ELECTRICAL,ENGINE; GASOLINE,,Closed,309,31,L,HQZ,LEN,2006,,9/8/2020,8/24/2010,9/8/2020,8/24/2010
08P042T,TRACKER MARINE GROUP L.P.,TOPPER 1032,LEVEL FLOTATION,LEVEL FLOTATION,BUJ65410H809,Closed,11984,11,H,BUJ,RAB,2009,10/23/2008,,,,7/13/2009
810166S,ANGLER BOAT CORP,V-17 HARD DECK,LEVEL FLOTATION,,,Closed,13,,L,ANG,CFP,,11/2/1981,9/6/1983,11/2/1981,9/6/1983,8/16/1983
980070T,WELLCRAFT MARINE CORP,SCARAB 19 FOOT JET,FLOODING AROUND EXHAUST,,WEL,Closed,163,12,L,WEL,PDE,,5/26/1998,11/22/1999,5/26/1998,11/22/1999,11/30/1998
980232T,SABRE CORPORATION,402,FUEL TANK LEAK - DIESEL,,HWS40001L596,Closed,44,12,L,HWS,DRG,,12/24/1998,9/27/1999,12/24/1998,9/27/1999,9/27/1999
940314S,NORTHEAST FIBERGLASS,TDB-17 1990-1993,SAFE HORSEPOWER,,,Closed,101,,L,NFK,PDE,1993,5/3/1995,5/3/1995,10/14/1995,10/14/1995,10/14/1994
950120T,THOMPSON MARINE PRODUCTS INC,1800BR 200BR 2000C 2100BR,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,TMS.........,Closed,589,,H,TMS,DRG,,9/13/1995,12/29/1999,11/1/1995,12/29/1999,12/29/1999
08R2731S,STARCRAFT MARINE,1900 IO,VENTILATION,,STR14595B808,Closed,104,12,H,STR,RAB,2008,2/21/2008,9/16/2010,6/30/2008,9/16/2010,9/16/2010
150018S,Sea Ray Boats,19SPX and 21SPX,VENTILATION,,SERV1319G415,Open,661,13,,ser,LEN,,9/9/2015,,9/9/2015,,2/14/2022
150020T,BRP,ICON and ICON II,shift and throttle,,,CLOSED,1369,31,,,ej,2015,11/20/2015,4/21/2017,2/9/2016,4/21/2017,4/21/2017
98V042S,GLOUCESTER FIBERGLASS,EAGLE 15,LEVEL FLOTATION,,OTO0145GD898,Closed,44,11,L,OTO,GEL,1998,6/17/1998,,7/17/1998,12/28/2000,4/19/2000
951378S,HOLBY MARINE,BRISTOL SKIFF,SAFE LOADING - MAX WEIGHT,SAFE LOADING - MAX PERS,VARIOUS,Closed,12,,L,HXW,PDE,1995,11/23/1995,11/23/1995,11/23/1995,11/23/1995,11/23/1995
030127T,BENETEAU USA INC,FIRST 36.7,STEERING ARM,,,Closed,116,14,H,BEY,DRG,,8/8/2003,3/25/2004,8/8/2003,3/25/2004,3/25/2004
820016E,GIBSON FIBERGLASS PROD,ONAN MCCK,STARTER MTR ON ONAN MCCK,GEN'TR NOT EXPLOS PROOFED,,Closed,50,,L,GBN,DWE,,2/17/1982,10/22/1982,2/17/1982,10/28/1982,8/18/1982
010093S,GLASTRON BOATS,"""175 SX, 185 SX, 195 SX, 205 SX""",BASIC FLOTATION,,GLAXXXXXXXXX,Closed,4464,13,L,GLA,PDE,,4/25/2001,1/15/2004,4/25/2001,1/15/2004,12/30/2003
950194T,OUTBOARD MARINE CORP,LOWE DECK & PONTOON BOATS,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,OMC.........,Closed,900,,H,OMC,DRG,,9/13/1995,4/21/1998,11/1/1995,4/21/1998,4/21/1998
020153T,BOMBARDIER LTD,UTOPIA 185 AND 205 SPORT BOATS,STEERING CONTROL,HANDHOLD MAY BE INSECURE,,Closed,443,17,,CEC,RAB,2002,8/20/2002,10/17/2007,8/20/2002,10/17/2007,9/15/2007
050030T,S.A.F.E. BOATS INTERNATIONAL,,FUEL TANK LEAK,,,Closed,2,11,H,EGO,DRG,2000,5/27/2005,,6/28/2005,5/15/2006,3/27/2006
971558S,NORTHPORT INC,V 1450,LEVEL FLOTATION,,,Closed,24,11,L,MRR,GEL,1997,1/12/1998,,2/18/1998,3/19/1999,2/23/1999
021072S,PRINCESS MARINE,LC 11,LEVEL FLOTATION,SAFE LOADING MAX WT,PCYF1005G203,Closed,1,11,L,PCY,GEL,2003,11/20/2002,6/30/2004,11/20/2002,6/30/2004,12/16/2002
810035K,ENDEAVOR YACHT,,AIRPAX T-11 INSTALLED,,,Closed,27,,,ENC,DWE,,4/9/1981,2/17/1982,4/9/1981,2/17/1982,10/13/1982
800075S,SCOTT BOAT CO INC,1680 O/B,SAFE LOADING,LEVEL FLOTATION,,Closed,68,,,SCT,PCB,80,3/3/1980,1/7/1983,3/3/1980,1/7/1983,9/22/1980
030096S,BRUNSWICK FAMILY BOAT CO INC,2052 TROPHY,IGNITON PROTECTION,BULKHEAD NOT SEALED,,Closed,807,13,L,THM,DRG,,6/25/2003,1/19/2006,6/25/2003,1/19/2006,1/19/2006
940141T,"""TRACKER MARINE, L.P.""",PRO 18 SPORT JET,NON IGN PROTECTED DEVICE,,,Closed,223,,H,BUJ,RJD,1994,6/16/1994,1/29/2002,6/16/1994,1/29/2002,12/29/1994
07P034T,FISH-RITE BOATS INC,19' PERFORMER,LEVEL FLOTATION,SAFE LOADING MAX PERS WT,TGF06131J607,Closed,15,11,L,TGF,RAB,2007,9/19/2007,,9/19/2007,8/20/2013,8/20/2013
090049S,BOMBARDIER RECREATIONAL PROD,"""E-TEC DPL, DEL, DRL, AND WDR""",START IN GEAR,,,Closed,1567,31,H,HQZ,PLC,,9/9/2009,,9/9/2009,7/29/2012,5/17/2012
020133T,S2 YACHTS INC,3000 EXPRESS 2600 DENALI,VENTILATION,BLOWER FAILS,SSU,Closed,116,13,H,SSU,PDE,,7/16/2002,,7/17/2002,,5/30/2004
06R1169S,SPLENDOR BOATS,POOR MAN'S BASS OUTBOARD BOAT,LABEL; CAPACITY,LABEL; CERTIFICATION,,Closed,13,11,L,GSU,RAB,,1/20/2006,2/20/2007,2/28/2006,,2/22/2007
810118S,TROLLER CORP,T-14,MAX WEIGHT,MAX PERSON,,Closed,1,,,TMD,KWL,1981,9/9/1981,3/22/1982,9/9/1981,3/22/1982,12/15/1981
01R0312S,FIBERGLASS WORKS INC,RAM 200 & RAM 2100,VENTILATION,,FWZ02366G102,Closed,11,11,H,FWZ,DRG,2002,8/27/2001,10/23/2001,8/27/2001,10/23/2001,10/23/2001
960077T,MERCURY MARINE,COMMANDER 3000 REMOTE CONTROL,THROTTLE CONTROL,,VARIOUS,CLOSED,129839,17,H,,DRG,94/95,8/1/1996,10/23/2002,8/1/1996,10/23/2002,10/23/2002
080042T,MERIDIAN YACHTS INC,"""341NSB, 411SB, 441SB""",SHOREPOWER CONNECTION,,,Closed,36,12,L,MDN,LEN,,11/17/2008,,11/17/2008,10/16/2015,10/15/2015
971523S,LITTLE RIVER MARINE,WHITE DORY SINGLE,SAFE LOAD:,LEVEL FLOTATION,LRGF7614C797,Closed,74,11,L,LRC,GEL,1997,9/18/1997,,9/10/1997,12/17/1999,9/18/1997
150023S,COBALT BOAT,296 & 302; 336 & 273,FUEL SYSTEM,,FGE36003F415,Open,156,13,H,FGE,LEN,,12/31/2015,,12/31/2015,,12/17/2019
950334T,UNITED MARINE CORP,UNK,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,,Closed,100,,H,UMA,GEL,,11/28/1995,,12/30/1995,4/30/2002,9/30/1996
040017S,BOMBARDIER RECREATIONAL PROD,SPORTBOATS,FUEL SYSTEM,,VARIOUS,Closed,1392,17,H,CEC,RAB,,12/11/2003,7/1/2008,12/11/2003,7/1/2008,6/13/2008
15CG044S,SOUTHFORK CUSTOM BOAT MFG INC,1648 Jon� EXL boat,LABEL; CAPACITY,SAFE LOADING MAX PERS WT,EZLSF054C515,Open,14,11,,EZL,PLC,2015,12/1/2015,,1/20/2016,,11/22/2022
15CG047S,BLAZER BOAT MANUFACTURING,1656 Custom Jon (Sport) wo Remot,LEVEL FLOTATION,LABEL; CAPACITY,CJT74810H516,Open,1,11,,CJT,PLC,2016,12/8/2015,,1/17/2016,,11/22/2022
950232T,SEA NYMPH INC,VARIOUS SEE REMARKS,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,,Closed,692,,H,SEA,RJD,,9/13/1995,,11/1/1995,6/30/1999,6/30/1999
020197S,SEA MAXX,5.0 & 5.7 L MPI ENGINES,ELECTRICAL SYSTEM,,,CLOSED,50,32,H,,PDE,2002-03,10/28/2002,11/30/2004,11/29/2002,11/30/2004,11/30/2004
980165T,BOMBARDIER CORP,SPEEDSTER/CHALLENGER JET BOATS,SEAT SWIVEL PLATES BREAK,,,Closed,2262,17,H,ZZN,WAC,1998,10/6/1998,6/7/2005,10/6/1998,6/7/2005,6/15/2000
980166S,ALUMACRAFT BOAT CO,1450AW; MV1450AW;,LEVEL FLOTATION,,,Closed,244,11,H,ACB,DRG,,10/9/1998,5/16/2001,10/9/1998,5/16/2001,5/16/2001
060009T,"""BRP, USA INC.""",EVINRUDE E-TEC TILLER KIT,SHIFT CABLE,,,Closed,380,,L,CEC,RAB,2006,2/21/2006,8/23/2006,2/21/2006,8/23/2006,6/15/2006
160002T,BRP US,E Tech ICON and ICON II,,,,Closed,1369,31,,cec,ej,,2/19/2016,10/14/2020,2/19/2016,10/14/2020,10/14/2020
14R5436S,CASTRO SKIFF,Lookout Skiff�,LABEL; CAPACITY,NAVIGATION LIGHTS,CAXE0004A414,Closed,,11,l,CAX,LEN,2014,3/6/2014,5/29/2014,,,5/20/2014
13R5141S,MARINE TECHNOLOGY INC,'48 Race Pleasure' IB,FUEL SYSTEM,EXHAUST SYSTEM,VIC48229E313,Closed,,12,,VIC,LEN,2013,7/1/2013,4/23/2016,,,4/18/2016
970113S,LUHRS,TOURNAMENT 290,POTENTIAL FOR FIRE,,LHRT92421495,Closed,294,11,L,LHR,GEL,1995,10/22/1997,,2/2/1998,8/4/1998,5/21/1998
980085T,MAKO MARINE INC,MAKO 252,SWAMPING - POSSIBLE,,,Closed,118,11,L,MRK,GEL,,6/12/1998,,7/13/1998,12/20/1999,10/31/1999
981606S,BUMBLE BEE BOATS,180SS,LEVEL FLOTATION,,MDTN2705H899,Closed,36,11,L,MDT,GEL,1999,4/5/1999,6/19/2001,4/16/1999,6/19/2001,12/15/1999
920350S,KEY WEST BOATS INC,1750 SPORTSMAN,LEVEL FLOTATION,LEVEL FLOTATION STABILITY,KWESC881G192,Closed,1,,H,KWE,LJA,1992,5/21/1993,10/17/1994,5/21/1993,10/17/1994,10/17/1994
941325S,PRO-SPORTS BOATS INC,1400 SC RUNABOUT,SAFE LOAD MAX PERS & WT,LEVEL FLOTATION,PXKA0465M394,Closed,1,,H,PXK,GEL,1994,11/15/1994,,6/14/1995,3/27/1997,10/25/1995
08R2692S,EBBTIDE CORPORATION,192 SE,VENTILATION,,ETC00099I708,Closed,267,12,L,ETC,,2008,2/20/2008,,,8/14/2013,8/14/2013
19CG152S,MARLON RECREATIONAL PRODUCTS,WV14L,LEVEL FLOTATION,,YKR00851F819,Open,35,11,L,YKR,LEN,2019,1/14/2019,,3/4/2020,,1/20/2023
19CG153S,SMOKER CRAFT INC,VOYAGER 14 BENCH,LEVEL FLOTATION,SAFE LOADING PERSONS,SMK63227F819,Open,336,11,L,SMK,PLC,,1/18/2019,,5/7/2019,,12/20/2022
800217S,B&C FIBERGLASS CO.,,SAFE LOADING,,,Closed,21,,H,XRX,KWL,,8/8/1980,4/26/1982,8/8/1980,4/26/1982,3/22/1982
10V230,ALEXANDRIA SEAPORT FOUNDATION,CHALLENGE WHERRY,,,ASPWHE01F910,Closed,1,14,L,ASP,LEN,2010,11/16/2010,11/9/2020,,,2/22/2011
110002S,,,ELECTRICAL SYSTEM,,,Closed,1091,11,H,CRC,PLC,,1/25/2011,,1/25/2011,11/14/2013,4/25/2011
030125T,BOMBARDIER MOTOR CORP OF AMER,SEA-DOO SPORTSTER 4-TEC,IGNTION PROTECTION,BULKHEAD NOT SEALED,VARIOUS,Closed,672,17,,CEC,RAB,2003,7/31/2003,,7/31/2003,11/13/2003,7/31/2003
050027T,GLASTRON BOATS,DS 215,FUEL SYSTEM,,VARIOUS,Closed,72,13,H,GLA,RAB,2005,5/23/2005,5/3/2007,5/23/2005,5/3/2007,1/30/2007
941300S,KLASSIC BOAT COMPANY,THUNDERBOLT 155,LEVEL FLOTATION,SAFE LOAD,KLA00110B494,Closed,5,,H,KLA,DRG,1994,11/17/1994,5/24/1995,11/17/1994,5/24/1995,5/24/1995
15R5661S,HAGADONE HOSPITALITY,�CORE 34� inboard powered boat,ENGINE; GASOLINE,,JPV34001F415,Closed,1,12,L,JPV,EAJ,2015,11/4/2015,10/31/2017,1/25/2016,10/31/2017,10/31/2017
15R5660S,STAN-CRAFT BOAT COMPANY,�17 Riverboat� outboard boat,LABEL; CAPACITY,LABEL; CERTIFICATION,,Closed,1,11,L,WJU,EAJ,2015,11/4/2015,4/4/2011,3/25/2016,4/4/2011,2/20/2018
810213S,INDIAN RIVER BOATS,14' O/B,SAFE POWERING,SAFE LOADING,,Closed,16,,L,JHR,CFP,1982,12/29/1981,10/28/1985,12/29/1981,10/28/1985,1/31/1985
980078T,TRACKER MARINE L.P.,TAHOE Q5S SPORT BOAT,FUEL FILL HOSE,,BUJ72128I798,Closed,132,13,H,BUJ,DRG,1998,6/16/1998,,8/1/1998,7/30/1999,7/30/1999
030085T,BAYLINER MARINE CORP,2109 & 209 DECK BOAT,ELECTRICAL SYSTEM,,,Closed,40,11,H,BLN,DRG,,6/13/2003,1/19/2006,6/13/2003,1/19/2006,1/19/2006
961454S,OUTBOARD MARINE CORP,1960 HUSKY,HORSEPOWER,,OMCL1950D696,Closed,72,11,L,OMC,GEL,1996,9/9/1996,,11/13/1996,8/4/1997,4/16/1997
930183S,OFFSHORE YACHT INC,OFFSHORE 18,LEVEL FLOTATION STABILITY,,OSY18178F394,Closed,67,,H,OSY,LJA,1994,10/8/1993,,5/31/1995,6/26/1997,11/30/1995
041024R1,NORTH RIVER JET BOATS INC,1710 SCOUT,,,NRBB0597F505,Closed,50,11,L,NRB,,2005,11/28/2005,,12/28/2005,12/16/2008,8/21/2007
090029S,CRESTLINER INC,14 CANADIAN SIDE CONSOLE,LEVEL FLOTATION,,,Closed,301,11,H,CRC,PLC,,8/7/2009,,9/7/2009,5/23/2012,5/23/2012
